NAME, Part, Lon, Lat
Bellows, 1, -77.45448, 41.3033
Bellows, 1, -77.46687, 41.30969
Bellows, 1, -77.47157, 41.31442
Bellows, 1, -77.47298, 41.32031
Bellows, 1, -77.47458, 41.32701
Bellows, 1, -77.47398, 41.33381
Bellows, 1, -77.47798, 41.33972
Bellows, 1, -77.48277, 41.34352
Bellows, 1, -77.48798, 41.34731
Bellows, 1, -77.49968, 41.35401
Bellows, 1, -77.51218, 41.35531
Bellows, 1, -77.52087, 41.357
Bellows, 1, -77.52708, 41.3589
Bellows, 1, -77.53368, 41.36241
Bellows, 1, -77.53998, 41.36839
Bellows, 1, -77.54147, 41.38131
Bellows, 1, -77.54817, 41.3924
Bellows, 1, -77.56049, 41.40841
Bellows, 1, -77.56339, 41.41221
Bellows, 1, -77.56948, 41.41432
Bellows, 1, -77.57488, 41.4204
Bellows, 1, -77.58208, 41.43791
Bellows, 1, -77.59719, 41.44111
Bellows, 1, -77.59819, 41.4785
Bellows, 1, -77.59958, 41.54221
Bellows, 1, -77.46208, 41.5442
Bellows, 1, -77.35439, 41.5457
Bellows, 1, -77.21187, 41.5477
Bellows, 1, -77.19257, 41.548
Bellows, 1, -77.00796, 41.5506
Bellows, 1, -76.96257, 41.5513
Bellows, 1, -76.96015, 41.5513
Bellows, 1, -76.96257, 41.5567
Bellows, 1, -76.95716, 41.55991
Bellows, 1, -76.95295, 41.56419
Bellows, 1, -76.94816, 41.5677
Bellows, 1, -76.94245, 41.56931
Bellows, 1, -76.93646, 41.5688
Bellows, 1, -76.93046, 41.5699
Bellows, 1, -76.92576, 41.5741
Bellows, 1, -76.92337, 41.5795
Bellows, 1, -76.91806, 41.5824
Bellows, 1, -76.91195, 41.5817
Bellows, 1, -76.90596, 41.5825
Bellows, 1, -76.88276, 41.5885
Bellows, 1, -76.87724, 41.5912
Bellows, 1, -76.87466, 41.5968
Bellows, 1, -76.81376, 41.5901
Briggs, 1, -76.81376, 41.5901
Briggs, 1, -76.76896, 41.5865
Briggs, 1, -76.69035, 41.58009
Briggs, 1, -76.68186, 41.57941
Briggs, 1, -76.55494, 41.56911
Briggs, 1, -76.48004, 41.563
Briggs, 1, -76.47024, 41.56219
Briggs, 1, -76.36175, 41.55341
Briggs, 1, -76.31684, 41.5498
Briggs, 1, -76.22195, 41.5421
Briggs, 1, -76.22935, 41.5097
Briggs, 1, -76.24153, 41.47929
Briggs, 1, -76.28264, 41.3772
Briggs, 1, -76.29703, 41.342
Briggs, 1, -76.31074, 41.30859
Briggs, 1, -76.40814, 41.3082
Briggs, 1, -76.41686, 41.3011
Briggs, 1, -76.44764, 41.2756
Briggs, 1, -76.52025, 41.28999
Briggs, 1, -76.56605, 41.299
Briggs, 1, -76.59235, 41.3042
Briggs, 1, -76.60295, 41.311
Briggs, 1, -76.62395, 41.32449
Briggs, 1, -76.69005, 41.367
Briggs, 1, -76.74965, 41.4054
Briggs, 1, -76.77174, 41.46899
Briggs, 1, -76.81376, 41.5901
Bright, 1, -77.9894, 41.47479
Bright, 1, -77.91879, 41.4755
Bright, 1, -77.8226, 41.4764
Bright, 1, -77.76709, 41.4769
Bright, 1, -77.59819, 41.4785
Bright, 1, -77.59719, 41.44111
Bright, 1, -77.58208, 41.43791
Bright, 1, -77.57488, 41.4204
Bright, 1, -77.56948, 41.41432
Bright, 1, -77.56339, 41.41221
Bright, 1, -77.56049, 41.40841
Bright, 1, -77.54817, 41.3924
Bright, 1, -77.54147, 41.38131
Bright, 1, -77.53998, 41.36839
Bright, 1, -77.53368, 41.36241
Bright, 1, -77.52708, 41.3589
Bright, 1, -77.52087, 41.357
Bright, 1, -77.51218, 41.35531
Bright, 1, -77.49968, 41.35401
Bright, 1, -77.48798, 41.34731
Bright, 1, -77.48277, 41.34352
Bright, 1, -77.47798, 41.33972
Bright, 1, -77.47398, 41.33381
Bright, 1, -77.47458, 41.32701
Bright, 1, -77.47298, 41.32031
Bright, 1, -77.47157, 41.31442
Bright, 1, -77.46687, 41.30969
Bright, 1, -77.45448, 41.3033
Bright, 1, -77.44898, 41.2921
Bright, 1, -77.44447, 41.28771
Bright, 1, -77.43887, 41.2853
Bright, 1, -77.43237, 41.28391
Bright, 1, -77.42708, 41.2791
Bright, 1, -77.42468, 41.27342
Bright, 1, -77.41948, 41.27041
Bright, 1, -77.41356, 41.2684
Bright, 1, -77.40838, 41.26422
Bright, 1, -77.40038, 41.25451
Bright, 1, -77.39508, 41.25001
Bright, 1, -77.36968, 41.2334
Bright, 1, -77.36367, 41.23361
Bright, 1, -77.35819, 41.2311
Bright, 1, -77.35188, 41.22991
Bright, 1, -77.34908, 41.2246
Bright, 1, -77.34417, 41.22051
Bright, 1, -77.33806, 41.2208
Bright, 1, -77.33199, 41.21961
Bright, 1, -77.32596, 41.21981
Bright, 1, -77.32018, 41.21861
Bright, 1, -77.31788, 41.21691
Bright, 1, -77.29009, 41.1957
Bright, 1, -77.29347, 41.19032
Bright, 1, -77.29099, 41.1844
Bright, 1, -77.27837, 41.18101
Bright, 1, -77.27308, 41.177
Bright, 1, -77.27027, 41.1742
Bright, 1, -77.26737, 41.17131
Bright, 1, -77.25467, 41.15861
Bright, 1, -77.24928, 41.15332
Bright, 1, -77.18007, 41.08421
Bright, 1, -77.17737, 41.08161
Bright, 1, -77.16446, 41.06871
Bright, 1, -77.14417, 41.06881
Bright, 1, -77.14387, 41.0436
Bright, 1, -77.33767, 40.98921
Bright, 1, -77.34628, 40.98681
Bright, 1, -77.50877, 40.96261
Bright, 1, -77.51189, 40.9663
Bright, 1, -77.51688, 40.97221
Bright, 1, -77.55627, 41.01861
Bright, 1, -77.55938, 41.0223
Bright, 1, -77.57499, 41.04991
Bright, 1, -77.56158, 41.05781
Bright, 1, -77.57019, 41.06631
Bright, 1, -77.57489, 41.06811
Bright, 1, -77.58247, 41.06921
Bright, 1, -77.58807, 41.07171
Bright, 1, -77.59238, 41.0763
Bright, 1, -77.59798, 41.07991
Bright, 1, -77.60389, 41.08061
Bright, 1, -77.60988, 41.08221
Bright, 1, -77.61388, 41.08702
Bright, 1, -77.61969, 41.08911
Bright, 1, -77.62468, 41.0922
Bright, 1, -77.62878, 41.09291
Bright, 1, -77.64088, 41.0967
Bright, 1, -77.64728, 41.09822
Bright, 1, -77.65327, 41.09901
Bright, 1, -77.65969, 41.10452
Bright, 1, -77.66428, 41.10931
Bright, 1, -77.66968, 41.1061
Bright, 1, -77.6763, 41.10681
Bright, 1, -77.68219, 41.10951
Bright, 1, -77.68848, 41.10681
Bright, 1, -77.69498, 41.10731
Bright, 1, -77.70058, 41.11111
Bright, 1, -77.70589, 41.11412
Bright, 1, -77.70959, 41.11201
Bright, 1, -77.71188, 41.11071
Bright, 1, -77.71529, 41.1054
Bright, 1, -77.722, 41.10652
Bright, 1, -77.72619, 41.111
Bright, 1, -77.73249, 41.11061
Bright, 1, -77.73779, 41.10781
Bright, 1, -77.74459, 41.107
Bright, 1, -77.74969, 41.11051
Bright, 1, -77.77429, 41.14251
Bright, 1, -77.78939, 41.14201
Bright, 1, -77.78979, 41.17691
Bright, 1, -77.85929, 41.17681
Bright, 1, -77.8972, 41.17681
Bright, 1, -77.89779, 41.25001
Bright, 1, -77.90079, 41.25001
Bright, 1, -77.90571, 41.24581
Bright, 1, -77.91149, 41.24261
